series_id	tournament_id	team1_id	team2_id	winner_id	start_date	end_date
1	1	1	2	1	2023-10-25	2023-10-26
2	1	3	4	3	2023-10-24	2023-10-25
3	1	5	6	5	2023-10-23	2023-10-24
4	2	7	8	7	2023-08-05	2023-08-06
5	2	9	10	9	2023-08-04	2023-08-05
6	3	11	12	11	2023-09-10	2023-09-11
7	3	13	14	13	2023-09-09	2023-09-10
8	4	15	1	15	2023-07-03	2023-07-04
9	4	2	3	2	2023-07-02	2023-07-03
10	5	4	5	4	2023-06-15	2023-06-16
11	5	6	7	6	2023-06-14	2023-06-15
12	6	8	9	8	2023-05-22	2023-05-23
13	6	10	11	10	2023-05-21	2023-05-22
14	7	12	13	12	2023-04-05	2023-04-06
15	7	14	15	14	2023-04-04	2023-04-05
